Iteración,Valor función,Norma gradiente,Δx
368,7.8731e-02,6.1125e-03,6.1235e-03
369,7.8693e-02,6.1015e-03,6.1125e-03
370,7.8656e-02,6.0907e-03,6.1015e-03
371,7.8619e-02,6.0798e-03,6.0907e-03
372,7.8582e-02,6.0690e-03,6.0798e-03
373,7.8545e-02,6.0583e-03,6.0690e-03
374,7.8509e-02,6.0476e-03,6.0583e-03
375,7.8472e-02,6.0370e-03,6.0476e-03
376,7.8436e-02,6.0264e-03,6.0370e-03
377,7.8399e-02,6.0159e-03,6.0264e-03
378,7.8363e-02,6.0054e-03,6.0159e-03
379,7.8327e-02,5.9950e-03,6.0054e-03
380,7.8291e-02,5.9846e-03,5.9950e-03
381,7.8255e-02,5.9743e-03,5.9846e-03
382,7.8220e-02,5.9640e-03,5.9743e-03
383,7.8184e-02,5.9537e-03,5.9640e-03
384,7.8149e-02,5.9435e-03,5.9537e-03
385,7.8113e-02,5.9334e-03,5.9435e-03
386,7.8078e-02,5.9233e-03,5.9334e-03
387,7.8043e-02,5.9132e-03,5.9233e-03
388,7.8008e-02,5.9032e-03,5.9132e-03
389,7.7974e-02,5.8932e-03,5.9032e-03
390,7.7939e-02,5.8833e-03,5.8932e-03
391,7.7904e-02,5.8734e-03,5.8833e-03
392,7.7870e-02,5.8636e-03,5.8734e-03
393,7.7835e-02,5.8538e-03,5.8636e-03
394,7.7801e-02,5.8440e-03,5.8538e-03
395,7.7767e-02,5.8343e-03,5.8440e-03
396,7.7733e-02,5.8247e-03,5.8343e-03
397,7.7699e-02,5.8151e-03,5.8247e-03
398,7.7665e-02,5.8055e-03,5.8151e-03
399,7.7632e-02,5.7959e-03,5.8055e-03
400,7.7598e-02,5.7865e-03,5.7959e-03
401,7.7565e-02,5.7770e-03,5.7865e-03
402,7.7531e-02,5.7676e-03,5.7770e-03
403,7.7498e-02,5.7582e-03,5.7676e-03
404,7.7465e-02,5.7489e-03,5.7582e-03
405,7.7432e-02,5.7396e-03,5.7489e-03
406,7.7399e-02,5.7303e-03,5.7396e-03
407,7.7366e-02,5.7211e-03,5.7303e-03
408,7.7333e-02,5.7120e-03,5.7211e-03
409,7.7301e-02,5.7028e-03,5.7120e-03
410,7.7268e-02,5.6937e-03,5.7028e-03
411,7.7236e-02,5.6847e-03,5.6937e-03
412,7.7204e-02,5.6757e-03,5.6847e-03
413,7.7172e-02,5.6667e-03,5.6757e-03
414,7.7139e-02,5.6577e-03,5.6667e-03
415,7.7107e-02,5.6488e-03,5.6577e-03
416,7.7076e-02,5.6400e-03,5.6488e-03
417,7.7044e-02,5.6311e-03,5.6400e-03
418,7.7012e-02,5.6223e-03,5.6311e-03
419,7.6981e-02,5.6136e-03,5.6223e-03
420,7.6949e-02,5.6048e-03,5.6136e-03
421,7.6918e-02,5.5962e-03,5.6048e-03
422,7.6886e-02,5.5875e-03,5.5962e-03
423,7.6855e-02,5.5789e-03,5.5875e-03
424,7.6824e-02,5.5703e-03,5.5789e-03
